File Version,BWSpec4.11_1,,,,,,,,,
Run Name,,,,,,,,,,
Product Name,,,,,,,,,,
Batch No,,,,,,,,,,
Lot No,,,,,,,,,,
Sample Suppler,,,,,,,,,,
Sample Notes,,,,,,,,,,
Date,18-04-2022 16:59,,,,,,,,,
title,ZAFB,,,,,,,,,
model,BRC112P-V,,,,,,,,,
c code,ZAFB,,,,,,,,,
358,472.31,21172.55,-21172.55,0,65535,0,0,0,0,0
359,472.73,21153.76,-21153.76,0,65535,0,0,0,0,0
360,473.15,21135.01,-21135.01,0,65535,0,0,0,0,0
361,473.57,21116.3,-21116.3,0,65535,0,0,0,0,0
362,473.99,21097.62,-21097.62,0,65535,0,0,0,0,0
363,474.41,21078.98,-21078.98,0,65535,0,0,0,0,0
364,474.83,21060.38,-21060.38,0,65535,0,0,0,0,0
365,475.24,21041.81,-21041.81,0,65535,0,0,0,0,0
366,475.66,21023.27,-21023.27,0,65535,0,0,0,0,0
367,476.08,21004.77,-21004.77,0,65535,0,0,0,0,0
368,476.5,20986.31,-20986.31,17,65535,0,-17,0,0,0
369,476.92,20967.88,-20967.88,0,65535,0,0,0,0,0
370,477.34,20949.49,-20949.49,0,65535,0,0,0,0,0
371,477.76,20931.14,-20931.14,0,65535,0,0,0,0,0
372,478.18,20912.81,-20912.81,0,65535,0,0,0,0,0
373,478.59,20894.53,-20894.53,0,65535,0,0,0,0,0
374,479.01,20876.28,-20876.28,0,65535,0,0,0,0,0
375,479.43,20858.06,-20858.06,0,65535,25,25,0,0,0
376,479.85,20839.88,-20839.88,0,65535,0,0,0,0,0
377,480.27,20821.73,-20821.73,0,65535,0,0,0,0,0
378,480.69,20803.62,-20803.62,0,65535,0,0,0,0,0
379,481.1,20785.54,-20785.54,0,65535,0,0,0,0,0
380,481.52,20767.5,-20767.5,0,65535,1,1,0,0,0
381,481.94,20749.49,-20749.49,0,65535,0,0,0,0,0
382,482.36,20731.51,-20731.51,0,65535,0,0,0,0,0
383,482.78,20713.57,-20713.57,0,65535,0,0,0,0,0
384,483.19,20695.66,-20695.66,0,65535,0,0,0,0,0
385,483.61,20677.79,-20677.79,0,65535,0,0,0,0,0
386,484.03,20659.95,-20659.95,0,65535,21,21,0,0,0
387,484.45,20642.14,-20642.14,0,65535,5,5,0,0,0
388,484.86,20624.37,-20624.37,0,65535,0,0,0,0,0
389,485.28,20606.63,-20606.63,0,65535,0,0,0,0,0
390,485.7,20588.92,-20588.92,0,65535,0,0,0,0,0
